Id,cluster4
00070df0-bbc3-11e8-b2bc-ac1f6b6435d0,0
000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0,1
000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,1
000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,0
001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,0
0020af02-bbba-11e8-b2ba-ac1f6b6435d0,2
002ff91e-bbb8-11e8-b2ba-ac1f6b6435d0,1
0032a07e-bba9-11e8-b2ba-ac1f6b6435d0,2
00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,2
00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,1
0038d6a6-bb9a-11e8-b2b9-ac1f6b6435d0,0
003957a8-bbb7-11e8-b2ba-ac1f6b6435d0,0
00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,1
00481c70-bba3-11e8-b2b9-ac1f6b6435d0,1
004a2b84-bbc4-11e8-b2bc-ac1f6b6435d0,0
004b47de-bbca-11e8-b2bc-ac1f6b6435d0,2
004bf4c6-bbc6-11e8-b2bc-ac1f6b6435d0,1
004d8a0e-bbc4-11e8-b2bc-ac1f6b6435d0,0
004efaa2-bba5-11e8-b2ba-ac1f6b6435d0,2
004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,2
00508c34-bbb7-11e8-b2ba-ac1f6b6435d0,2
0051ccbc-bbbb-11e8-b2ba-ac1f6b6435d0,0
0058c62c-bbbe-11e8-b2ba-ac1f6b6435d0,2
005a103a-bbc4-11e8-b2bc-ac1f6b6435d0,2
005a78ec-bbae-11e8-b2ba-ac1f6b6435d0,2
005ccb94-bbca-11e8-b2bc-ac1f6b6435d0,2
0060269e-bbbc-11e8-b2ba-ac1f6b6435d0,1
00626a32-bbab-11e8-b2ba-ac1f6b6435d0,1
0062719a-bbbe-11e8-b2ba-ac1f6b6435d0,0
00638dd0-bbac-11e8-b2ba-ac1f6b6435d0,1
0067c712-bba0-11e8-b2b9-ac1f6b6435d0,1
0067f542-bba1-11e8-b2b9-ac1f6b6435d0,1
006cde8a-bbbb-11e8-b2ba-ac1f6b6435d0,0
006f3dde-bbc9-11e8-b2bc-ac1f6b6435d0,0
00716b36-bba6-11e8-b2ba-ac1f6b6435d0,1
0072d080-bbaf-11e8-b2ba-ac1f6b6435d0,1
0074cfce-bbab-11e8-b2ba-ac1f6b6435d0,1
00751f10-bbab-11e8-b2ba-ac1f6b6435d0,1
007c0304-bbbd-11e8-b2ba-ac1f6b6435d0,2
007d009a-bb9c-11e8-b2b9-ac1f6b6435d0,1
00822d20-bbc1-11e8-b2bb-ac1f6b6435d0,0
00855996-bbad-11e8-b2ba-ac1f6b6435d0,1
008761b4-bbad-11e8-b2ba-ac1f6b6435d0,1
00884f46-bbc3-11e8-b2bc-ac1f6b6435d0,1
0089bdfe-bbc8-11e8-b2bc-ac1f6b6435d0,2
008a780e-bb9e-11e8-b2b9-ac1f6b6435d0,2
008b8e7c-bbb4-11e8-b2ba-ac1f6b6435d0,1
0092d59c-bba5-11e8-b2ba-ac1f6b6435d0,2
00934176-bbaf-11e8-b2ba-ac1f6b6435d0,0
0097150a-bbc1-11e8-b2bb-ac1f6b6435d0,0
00984a2c-bbaa-11e8-b2ba-ac1f6b6435d0,1
00986cb0-bbae-11e8-b2ba-ac1f6b6435d0,1
009c104e-bbc8-11e8-b2bc-ac1f6b6435d0,1
009d30e6-bbb4-11e8-b2ba-ac1f6b6435d0,2
00ab10d6-bba4-11e8-b2b9-ac1f6b6435d0,0
00ae0ea6-bb9c-11e8-b2b9-ac1f6b6435d0,2
00b1b8b8-bba5-11e8-b2ba-ac1f6b6435d0,2
00b3659a-bbb0-11e8-b2ba-ac1f6b6435d0,2
00b5ec5e-bbb8-11e8-b2ba-ac1f6b6435d0,0
00b8087a-bbc4-11e8-b2bc-ac1f6b6435d0,1
00b9bdcc-bbca-11e8-b2bc-ac1f6b6435d0,1
00bd4376-bbbf-11e8-b2ba-ac1f6b6435d0,1
00c15ef6-bba7-11e8-b2ba-ac1f6b6435d0,1
00c3f3fc-bbbe-11e8-b2ba-ac1f6b6435d0,2
00c58890-bbbc-11e8-b2ba-ac1f6b6435d0,0
00c76b88-bbb2-11e8-b2ba-ac1f6b6435d0,1
00c9616e-bba7-11e8-b2ba-ac1f6b6435d0,2
00c96be4-bbb8-11e8-b2ba-ac1f6b6435d0,1
00d7d192-bbb9-11e8-b2ba-ac1f6b6435d0,1
00db5f9e-bbc1-11e8-b2bb-ac1f6b6435d0,0
00dd1766-bbae-11e8-b2ba-ac1f6b6435d0,1
