Id,cluster4
000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0,1
000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,1
001838f8-bbca-11e8-b2bc-ac1f6b6435d0,3
0020af02-bbba-11e8-b2ba-ac1f6b6435d0,2
002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,3
00285ce4-bba0-11e8-b2b9-ac1f6b6435d0,3
002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,3
002ff91e-bbb8-11e8-b2ba-ac1f6b6435d0,1
00301238-bbb2-11e8-b2ba-ac1f6b6435d0,3
0032a07e-bba9-11e8-b2ba-ac1f6b6435d0,2
00344514-bbc2-11e8-b2bb-ac1f6b6435d0,3
00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,2
00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,1
003feb6e-bbca-11e8-b2bc-ac1f6b6435d0,3
0042017c-bba4-11e8-b2b9-ac1f6b6435d0,3
00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,1
0047c984-bba6-11e8-b2ba-ac1f6b6435d0,3
00481c70-bba3-11e8-b2b9-ac1f6b6435d0,1
004b47de-bbca-11e8-b2bc-ac1f6b6435d0,2
004bf4c6-bbc6-11e8-b2bc-ac1f6b6435d0,1
004efaa2-bba5-11e8-b2ba-ac1f6b6435d0,2
004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,2
004f8abc-bbb9-11e8-b2ba-ac1f6b6435d0,3
00508c34-bbb7-11e8-b2ba-ac1f6b6435d0,2
00520f22-bb9a-11e8-b2b9-ac1f6b6435d0,3
0058c62c-bbbe-11e8-b2ba-ac1f6b6435d0,2
005a103a-bbc4-11e8-b2bc-ac1f6b6435d0,2
005a78ec-bbae-11e8-b2ba-ac1f6b6435d0,2
005ccb94-bbca-11e8-b2bc-ac1f6b6435d0,2
0060269e-bbbc-11e8-b2ba-ac1f6b6435d0,1
00626a32-bbab-11e8-b2ba-ac1f6b6435d0,1
00638dd0-bbac-11e8-b2ba-ac1f6b6435d0,1
0065e36c-bba4-11e8-b2b9-ac1f6b6435d0,3
0067a7c0-bbb7-11e8-b2ba-ac1f6b6435d0,3
0067c712-bba0-11e8-b2b9-ac1f6b6435d0,1
0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0,3
0067f542-bba1-11e8-b2b9-ac1f6b6435d0,1
006a8c72-bbc8-11e8-b2bc-ac1f6b6435d0,3
006f5b04-bbb3-11e8-b2ba-ac1f6b6435d0,3
00716b36-bba6-11e8-b2ba-ac1f6b6435d0,1
0072d080-bbaf-11e8-b2ba-ac1f6b6435d0,1
0074cfce-bbab-11e8-b2ba-ac1f6b6435d0,1
00751f10-bbab-11e8-b2ba-ac1f6b6435d0,1
007811e6-bbbc-11e8-b2ba-ac1f6b6435d0,3
007c0304-bbbd-11e8-b2ba-ac1f6b6435d0,2
007d009a-bb9c-11e8-b2b9-ac1f6b6435d0,1
00855996-bbad-11e8-b2ba-ac1f6b6435d0,1
008761b4-bbad-11e8-b2ba-ac1f6b6435d0,1
00884f46-bbc3-11e8-b2bc-ac1f6b6435d0,1
0088a1b6-bbb5-11e8-b2ba-ac1f6b6435d0,3
0089bdfe-bbc8-11e8-b2bc-ac1f6b6435d0,2
008a780e-bb9e-11e8-b2b9-ac1f6b6435d0,2
008a8630-bb9b-11e8-b2b9-ac1f6b6435d0,3
008b8e7c-bbb4-11e8-b2ba-ac1f6b6435d0,1
0092d59c-bba5-11e8-b2ba-ac1f6b6435d0,2
0093f39a-bbc9-11e8-b2bc-ac1f6b6435d0,3
00984a2c-bbaa-11e8-b2ba-ac1f6b6435d0,1
00986cb0-bbae-11e8-b2ba-ac1f6b6435d0,1
009b8c20-bbc6-11e8-b2bc-ac1f6b6435d0,3
009c104e-bbc8-11e8-b2bc-ac1f6b6435d0,1
009d30e6-bbb4-11e8-b2ba-ac1f6b6435d0,2
009e88e0-bbc5-11e8-b2bc-ac1f6b6435d0,3
00a71d92-bbb2-11e8-b2ba-ac1f6b6435d0,3
00ab56c8-bbad-11e8-b2ba-ac1f6b6435d0,3
00ad4b4c-bbc4-11e8-b2bc-ac1f6b6435d0,3
00ae0ea6-bb9c-11e8-b2b9-ac1f6b6435d0,2
00b1b8b8-bba5-11e8-b2ba-ac1f6b6435d0,2
00b3659a-bbb0-11e8-b2ba-ac1f6b6435d0,2
00b580c6-bbb2-11e8-b2ba-ac1f6b6435d0,3
00b6c386-bba9-11e8-b2ba-ac1f6b6435d0,3
00b8087a-bbc4-11e8-b2bc-ac1f6b6435d0,1
00b9bdcc-bbca-11e8-b2bc-ac1f6b6435d0,1
00bd4376-bbbf-11e8-b2ba-ac1f6b6435d0,1
00c15ef6-bba7-11e8-b2ba-ac1f6b6435d0,1
00c3f3fc-bbbe-11e8-b2ba-ac1f6b6435d0,2
00c76b88-bbb2-11e8-b2ba-ac1f6b6435d0,1
00c9616e-bba7-11e8-b2ba-ac1f6b6435d0,2
00c96be4-bbb8-11e8-b2ba-ac1f6b6435d0,1
00ca1a3a-bbc7-11e8-b2bc-ac1f6b6435d0,3
00cb9586-bbc2-11e8-b2bb-ac1f6b6435d0,3
00d315a6-bbac-11e8-b2ba-ac1f6b6435d0,3
00d4f904-bbb4-11e8-b2ba-ac1f6b6435d0,3
00d693c0-bbbb-11e8-b2ba-ac1f6b6435d0,3
00d7d192-bbb9-11e8-b2ba-ac1f6b6435d0,1
00dd1766-bbae-11e8-b2ba-ac1f6b6435d0,1
00df1310-bbca-11e8-b2bc-ac1f6b6435d0,2
00e77c9c-bbc2-11e8-b2bb-ac1f6b6435d0,1
00e96ea4-bbc1-11e8-b2bb-ac1f6b6435d0,1
00eabc0c-bbb5-11e8-b2ba-ac1f6b6435d0,3
00ed296c-bbb3-11e8-b2ba-ac1f6b6435d0,3
00ed4394-bbb2-11e8-b2ba-ac1f6b6435d0,1
00f42960-bbb3-11e8-b2ba-ac1f6b6435d0,2
00f8ac7e-bbbd-11e8-b2ba-ac1f6b6435d0,3
00fe597e-bbc9-11e8-b2bc-ac1f6b6435d0,1
00ff41c4-bba9-11e8-b2ba-ac1f6b6435d0,3
0101c0be-bba6-11e8-b2ba-ac1f6b6435d0,2
0102707a-bba3-11e8-b2b9-ac1f6b6435d0,1
01028112-bbb4-11e8-b2ba-ac1f6b6435d0,2
01037b76-bbaa-11e8-b2ba-ac1f6b6435d0,3
01043ee4-bba5-11e8-b2ba-ac1f6b6435d0,3
01058b36-bbbf-11e8-b2ba-ac1f6b6435d0,1
01095156-bbb7-11e8-b2ba-ac1f6b6435d0,3
010edd48-bbac-11e8-b2ba-ac1f6b6435d0,2
01106f56-bbc9-11e8-b2bc-ac1f6b6435d0,3
011361ce-bba7-11e8-b2ba-ac1f6b6435d0,3
011364f4-bba1-11e8-b2b9-ac1f6b6435d0,1
0115f496-bbb8-11e8-b2ba-ac1f6b6435d0,1
0118f7e4-bbaf-11e8-b2ba-ac1f6b6435d0,1
011945ae-bbb5-11e8-b2ba-ac1f6b6435d0,1
011a3b06-bb9e-11e8-b2b9-ac1f6b6435d0,2
011acdc6-bba0-11e8-b2b9-ac1f6b6435d0,1
011def6e-bbb5-11e8-b2ba-ac1f6b6435d0,1
012c02f2-bbab-11e8-b2ba-ac1f6b6435d0,3
012c2c02-bba4-11e8-b2b9-ac1f6b6435d0,2
012ed836-bbc1-11e8-b2bb-ac1f6b6435d0,1
01314a58-bba3-11e8-b2b9-ac1f6b6435d0,2
0136e24a-bba0-11e8-b2b9-ac1f6b6435d0,1
0139e754-bbbb-11e8-b2ba-ac1f6b6435d0,1
013f0f3a-bbad-11e8-b2ba-ac1f6b6435d0,1
0141b838-bb9f-11e8-b2b9-ac1f6b6435d0,3
0142ac38-bbb9-11e8-b2ba-ac1f6b6435d0,3
0142f5bc-bbc8-11e8-b2bc-ac1f6b6435d0,1
01437db2-bbc2-11e8-b2bb-ac1f6b6435d0,1
01453738-bbb8-11e8-b2ba-ac1f6b6435d0,3
0148ee6a-bba3-11e8-b2b9-ac1f6b6435d0,1
014927fe-bb9e-11e8-b2b9-ac1f6b6435d0,2
014a8bae-bba2-11e8-b2b9-ac1f6b6435d0,3
014d20d2-bbaf-11e8-b2ba-ac1f6b6435d0,1
014dfb1e-bbba-11e8-b2ba-ac1f6b6435d0,2
